1502348377,11.67,46.714
1502348378,11.671,46.715
1502348379,11.672,46.716
1502348380,11.673,46.717
1502348381,11.674,46.718
1502348382,11.675,46.719
1502348383,11.676,46.72
1502348384,11.677,46.721
1502348385,11.678,46.722
1502348386,11.679,46.723
1502348387,11.68,46.724
1502348388,11.681,46.725
1502348389,11.682,46.726
1502348390,11.683,46.727
1502348391,11.684,46.728
1502348392,11.685,46.729
1502348393,11.686,46.73
1502348394,11.687,46.731
1502348395,11.688,46.732
1502348396,11.689,46.733
1502348397,11.69,46.734
1502348398,11.691,46.735
1502348399,11.692,46.736
1502348400,11.693,46.737
1502348401,11.694,46.738
1502348402,11.695,46.739
1502348403,11.696,46.74
1502348404,11.697,46.741
1502348405,11.698,46.742
1502348406,11.699,46.743
1502348407,11.7,46.744
1502348408,11.701,46.745
1502348409,11.702,46.746
1502348410,11.703,46.747
1502348411,11.704,11.904
1502348412,11.705,46.749
1502348413,11.706,46.75
1502348414,11.707,46.751
1502348415,11.708,46.752
1502348416,11.709,46.753
1502348417,11.71,46.754
1502348418,11.711,46.755
1502348419,11.712,46.756
1502348420,11.713,46.757
1502348421,11.714,46.758
1502348422,11.715,46.759
1502348423,11.716,46.76
1502348424,11.717,46.761
1502348425,11.718,46.762
1502348426,11.719,46.763
1502348427,11.72,46.764
1502348428,11.721,46.765
1502348429,11.722,46.766
1502348430,11.723,46.767
1502348431,11.724,46.768
1502348432,11.725,46.769
1502348433,11.726,46.77
1502348434,11.727,46.771
1502348435,11.728,46.772
1502348436,11.729,46.773
1502348437,11.73,46.774
1502348438,11.731,46.775
1502348439,11.732,46.776
1502348440,11.733,46.777
1502348441,11.734,46.778
1502348442,11.735,46.779
1502348443,11.736,46.78
1502348444,11.737,46.781
1502348445,11.738,46.782
1502348446,11.739,46.783
1502348447,11.74,46.784
1502348448,11.741,46.785
1502348449,11.742,46.786
1502348450,11.743,46.787
1502348451,11.744,46.788
1502348452,11.745,46.789
1502348453,11.746,46.79
